state,district,vote,name,party,bill,bill_text
WA,6,Yes,Derek Kilmer,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WA,10,Yes,Denny Heck,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
WI,2,Yes,Mark Pocan,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,2,Yes,Robin Kelly,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,8,No,Jason Smith,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MA,5,Yes,Katherine Clark,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,1,No,Bradley Byrne,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NJ,1,Yes,Donald Norcross,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
NC,12,Yes,Alma Adams,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
AL,6,No,Gary Palmer,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
